time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
16.25,3.244,-0.033062,0.129097,3.21383,-0.0751607,0.146267,-0.0301657,-0.0420987,0.0171697,0.05456252006890811,1,0.03,0.00751283,0.0106267,-0.00393876,-6.00912e-05,,0.014598,1,0.01,0.185766,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,3.292,-0.0473384,0.123533,3.26795,-0.0967138,0.11605,-0.0240528,-0.0493755,-0.00748302,0.05542989064043335,1,0.08,-0.0182446,0.0304513,0.0326407,-0.000538317,,0.0095323,1,0.02,0.189774,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.75,3.344,-0.0626834,0.117325,3.3135,-0.114432,0.130184,-0.0304968,-0.0517482,0.0128592,0.061427111588613706,1,0.03,0.00908565,0.00832039,-0.0207208,-0.00127628,,0.0157197,1,0.01,0.182679,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,3.396,-0.0778623,0.110937,3.36129,-0.140697,0.112558,-0.0347133,-0.0628342,0.00162124,0.07180374854885782,1,0.08,0.00740567,0.0413469,0.00743319,-0.00106648,,-0.00500939,1,0.02,0.202114,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.25,3.444,-0.0916906,0.104889,3.40953,-0.149076,0.13997,-0.0344689,-0.0573857,0.0350803,0.075576789292679,1,0.03,-0.00609271,-0.0177844,-0.00804931,0.000199854,,-0.0295969,1,0.01,0.226121,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,3.496,-0.106435,0.0981841,3.4631,-0.16389,0.0821292,-0.0328987,-0.0574549,-0.0160549,0.06812598483478972,1,0.08,-0.0222459,0.00483599,-0.022952,6.91348e-05,,0.00426008,1,0.02,0.192732,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.75,3.544,-0.119794,0.091861,3.51505,-0.173255,0.0881545,-0.0289543,-0.053461,-0.00370645,0.06091114660792801,1,0.03,-0.0162627,-0.0131574,-0.00201692,0.000132557,,-0.000540069,1,0.01,0.196487,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,3.596,-0.133956,0.084876,3.56646,-0.189027,0.0764477,-0.0295433,-0.0550709,-0.00842832,0.06306066269650518,1,0.08,-0.00680293,0.0131712,0.00273758,0.000531595,,-0.00763868,1,0.02,0.202615,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.25,3.644,-0.146712,0.0783127,3.61496,-0.191211,0.0979685,-0.0290378,-0.0444996,0.0196558,0.05665473239403748,1,0.03,-0.00619595,-0.0411664,0.0218578,-4.10731e-05,,0.0147519,1,0.01,0.179379,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,3.696,-0.160151,0.0710873,3.6679,-0.214799,0.0776265,-0.0280967,-0.0546479,0.00653921,0.061794650195013644,1,0.08,-0.00599991,0.0442429,0.0191987,-0.000113582,,0.00282212,1,0.02,0.189487,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,3.744,-0.172176,0.0643207,3.72307,-0.229006,0.080798,-0.0209293,-0.0568302,0.0164773,0.06276311532914854,1,0.03,-0.016923,0.0135232,0.0109204,0.000165395,,-0.00857369,1,0.01,0.199245,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,3.796,-0.184757,0.0568956,3.76947,-0.242209,0.058113,-0.026529,-0.057452,0.00121743,0.06329298761162172,1,0.08,0.0132229,0.00405288,-0.000649609,0.000583591,,-0.00888121,1,0.02,0.198396,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.25,3.844,-0.195932,0.0499638,3.80641,-0.253011,0.0360171,-0.0375867,-0.0570792,-0.0139467,0.06975174213179194,1,0.03,0.0418325,-0.0118555,0.0106121,0.00045361,,0.0019406,1,0.01,0.186314,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,3.896,-0.20753,0.0423806,3.85657,-0.265422,0.048993,-0.0394316,-0.0578922,0.00661234,0.07035681160822739,1,0.08,-0.007104,0.00783624,-0.00740208,0.000555212,,0.000213271,1,0.02,0.186136,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
